pr_number,merged_at,author,title
31769,2024-12-17T03:43:51Z,rickhanlonii,Turn on useModernStrictMode in test renderers
31583,2024-12-16T21:45:17Z,mofeiZ,[compiler][ez] Add shape for global Object.keys
31582,2024-12-16T21:45:05Z,mofeiZ,[compiler] Context variables as dependencies
31795,2024-12-16T20:48:33Z,jbrown215,[compiler] Add fire to known React APIs
31794,2024-12-16T20:48:19Z,jbrown215,[compiler] Add option for firing effect functions
31581,2024-12-16T20:11:52Z,mofeiZ,[compiler][ez] Clean up duplicate code in propagateScopeDeps
31770,2024-12-16T19:43:34Z,mofeiZ,[compiler] Repro for aliased captures within inner function expressions
31738,2024-12-16T18:39:19Z,sebmarkbage,[Flight] Color and badge non-primary environments
31737,2024-12-16T18:16:53Z,sebmarkbage,[Flight] Emit Deduped Server Components Marker
31736,2024-12-16T17:39:15Z,sebmarkbage,[Flight] Sort Server Components Track Group ahead of Client Scheduler/Components Tracks
31806,2024-12-16T17:32:07Z,jackpope,Clean up context access profiling experiment
31735,2024-12-16T16:58:25Z,sebmarkbage,[Flight] Stack Parallel Components in Separate Tracks
31805,2024-12-16T16:18:03Z,rickhanlonii,Flag for requestPaint
31778,2024-12-15T17:34:09Z,rickhanlonii,[flags] Cleanup enableCache
31780,2024-12-15T17:16:10Z,rickhanlonii,[flags] Delete enableDebugTracing
31784,2024-12-14T21:17:06Z,sebmarkbage,Implement requestPaint in the actual scheduler
31752,2024-12-14T18:49:47Z,sebmarkbage,[Fiber] Highlight hydration and offscreen render phases
31776,2024-12-14T18:46:21Z,sebmarkbage,[Fiber] Schedule client renders using non-hydration lane
31779,2024-12-14T18:05:17Z,rickhanlonii,[flags] Delete enableSuspenseAvoidThisFallbackFizz
31777,2024-12-14T17:32:58Z,sebmarkbage,Fix `commong` typo in <title> multiple children error message
31767,2024-12-14T16:11:04Z,rickhanlonii,[flags] Cleanup enableUseMemoCacheHook
31775,2024-12-14T01:10:08Z,josephsavona,Optimize method calls w props receiver
31766,2024-12-13T21:39:13Z,rickhanlonii,Remove enableFlightReadableStream
31765,2024-12-13T21:30:10Z,rickhanlonii,Remove enableFilterEmptyStringAttributesDOM
31764,2024-12-13T20:52:43Z,rickhanlonii,Remove enableComponentStackLocations
31762,2024-12-13T20:49:06Z,jackpope,Add --cleanup option to flags script to show groups of flags by status
31759,2024-12-13T19:50:13Z,rickhanlonii,Remove enableBinaryflight
31757,2024-12-13T18:58:18Z,rickhanlonii,Remove enableAsyncActions
31756,2024-12-13T17:26:41Z,rickhanlonii,Remove disableIEWorkarounds
31758,2024-12-13T16:26:44Z,jackpope,Fix useResourceEffect in Fizz
31755,2024-12-13T16:05:10Z,rickhanlonii,Remove consoleManagedByDevToolsDuringStrictMode
31577,2024-12-13T11:53:05Z,hoxyq,[DevTools] Show component names while highlighting renders
31753,2024-12-13T04:53:37Z,sebmarkbage,Remove unused field _debugIsCurrentlyTiming
31751,2024-12-13T04:06:07Z,sebmarkbage,[Fiber] Use hydration lanes when scheduling hydration work
31746,2024-12-12T20:26:03Z,sebmarkbage,[Flight Parcel] Remove private package
